token,stockname,slm,dma50,dma200
474,3MINDIA-EQ,0,0,0
4481,AARTIDRUGS-EQ,0,0,0
7,AARTIIND-EQ,0,0,0
5385,AAVAS-EQ,0,0,0
13,ABB-EQ,0,0,0
17903,ABBOTINDIA-EQ,0,0,0
21614,ABCAPITAL-EQ,0,0,0
30108,ABFRL-EQ,0,0,0
22,ACC-EQ,0,0,0
25,ADANIENT-EQ,0,0,0
3569,ADANIGREEN-BE,0,0,0
15083,ADANIPORTS-EQ,0,0,0
10221,ADANITRANS-BE,0,0,0
18039,ADVENZYMES-EQ,0,0,0
40,AEGISCHEM-EQ,0,0,0
11344,AFFLE-BE,0,0,0
13086,AIAENG-EQ,0,0,0
8124,AJANTPHARM-EQ,0,0,0
1467,AKZOINDIA-EQ,0,0,0
79,ALEMBICLTD-EQ,0,0,0
11703,ALKEM-EQ,0,0,0
4487,ALKYLAMINE-EQ,0,0,0
17675,ALOKINDS-EQ,0,0,0
100,AMARAJABAT-EQ,0,0,0
1185,AMBER-EQ,0,0,0
1270,AMBUJACEM-EQ,0,0,0
324,ANGELBRKG-EQ,0,0,0
25780,APLAPOLLO-EQ,0,0,0
25328,APLLTD-EQ,0,0,0
157,APOLLOHOSP-EQ,0,0,0
163,APOLLOTYRE-EQ,0,0,0
5378,ASAHIINDIA-EQ,0,0,0
20182,ASHOKA-EQ,0,0,0
212,ASHOKLEY-EQ,0,0,0
236,ASIANPAINT-EQ,0,0,0
1508,ASTERDM-EQ,0,0,0
14418,ASTRAL-EQ,0,0,0
5610,ASTRAZEN-EQ,0,0,0
6074,ATGL-BE,0,0,0
263,ATUL-EQ,0,0,0
21238,AUBANK-EQ,0,0,0
275,AUROPHARMA-EQ,0,0,0
7936,AVANTIFEED-EQ,0,0,0
5900,AXISBANK-EQ,0,0,0
16669,BAJAJ-AUTO-EQ,0,0,0
19531,BAJAJCON-EQ,0,0,0
15034,BAJAJELEC-EQ,0,0,0
16675,BAJAJFINSV-EQ,0,0,0
305,BAJAJHLDNG-EQ,0,0,0
317,BAJFINANCE-EQ,0,0,0
14501,BALAMINES-EQ,0,0,0
335,BALKRISIND-EQ,0,0,0
338,BALMLAWRIE-EQ,0,0,0
341,BALRAMCHIN-EQ,0,0,0
2263,BANDHANBNK-EQ,0,0,0
4668,BANKBARODA-EQ,0,0,0
4745,BANKINDIA-EQ,0,0,0
368,BASF-EQ,0,0,0
371,BATAINDIA-EQ,0,0,0
17927,BAYERCROP-EQ,0,0,0
380,BBTC-EQ,0,0,0
2144,BDL-EQ,0,0,0
383,BEL-EQ,0,0,0
